employer_name,job_title,salary_raw,salary_min,salary_max,platform,position_link,career_website
Dexcom,Senior Staff Systems Engineer,"$149,000.00 - $248,300.00","$149,000.00","$248,300.00",Website,https://careers.dexcom.com/careers?domain=dexcom.com&start=0&location=San+Diego%2C+CA%2C+United+States&pid=38258935&sort_by=distance&filter_distance=80&filter_include_remote=1,Dexcom Careers and Job Opportunities
Dexcom,Senior Systems Engineer - Hardware Platforms,"$111,100.00 - $185,100.00","$111,100.00","$185,100.00",Website,https://careers.dexcom.com/careers?domain=dexcom.com&start=0&location=San+Diego%2C+CA%2C+United+States&pid=38259335&sort_by=distance&filter_distance=80&filter_include_remote=1,Dexcom Careers and Job Opportunities
Dexcom,"Sr Product Manager, Consumer International Expansion San Diego, California Apply Now","$141,800.00 - $236,400.00","$141,800.00","$236,400.00",Website,https://careers.dexcom.com/careers?domain=dexcom.com&start=0&location=San+Diego%2C+CA%2C+United+States&pid=38281788&sort_by=distance&filter_distance=80&filter_include_remote=1,Dexcom Careers and Job Opportunities
Dexcom,Sr Manager Regulatory Affairs,"$141,800.00 - $236,400.00","$141,800.00","$236,400.00",Website,https://careers.dexcom.com/careers?domain=dexcom.com&start=0&location=San+Diego%2C+CA%2C+United+States&pid=38281790&sort_by=distance&filter_distance=80&filter_include_remote=1,Dexcom Careers and Job Opportunities
Dexcom,Senior Product Manager – Next-Gen Biosensors,"$141,800.00 - $236,400.00","$141,800.00","$236,400.00",Website,https://careers.dexcom.com/careers?domain=dexcom.com&start=0&location=San+Diego%2C+CA%2C+United+States&pid=38298391&sort_by=distance&filter_distance=80&filter_include_remote=1,Dexcom Careers and Job Opportunities
Dexcom,Sr Medical Affairs Specialist - Regulatory Writing and Scientific Communications,"$95,900.00 - $159,900.00","$95,900.00","$159,900.00",Website,https://careers.dexcom.com/careers?domain=dexcom.com&start=0&location=San+Diego%2C+CA%2C+United+States&pid=38303576&sort_by=distance&filter_distance=80&filter_include_remote=1,Dexcom Careers and Job Opportunities
Dexcom,Lead HEOR Specialist,"$122,500.00 - $204,100.00","$122,500.00","$204,100.00",Website,https://careers.dexcom.com/careers?domain=dexcom.com&start=10&location=San+Diego%2C+CA%2C+United+States&pid=38327758&sort_by=distance&filter_distance=80&filter_include_remote=1,Dexcom Careers and Job Opportunities
Dexcom,Manager of Finance Systems and Reporting,"$122,500.00 - $204,100.00","$122,500.00","$204,100.00",Website,https://careers.dexcom.com/careers?domain=dexcom.com&start=10&location=San+Diego%2C+CA%2C+United+States&pid=38328582&sort_by=distance&filter_distance=80&filter_include_remote=1,Dexcom Careers and Job Opportunities
Dexcom,Director Product Management,"$172,400.00 - $287,300.00","$172,400.00","$287,300.00",Website,https://careers.dexcom.com/careers?domain=dexcom.com&start=10&location=San+Diego%2C+CA%2C+United+States&pid=38353575&sort_by=distance&filter_distance=80&filter_include_remote=1,Dexcom Careers and Job Opportunities
Dexcom,Sr Mechanical Engineer,"$95,900.00 - $159,900.00","$95,900.00","$159,900.00",Website,https://careers.dexcom.com/careers?domain=dexcom.com&start=10&location=San+Diego%2C+CA%2C+United+States&pid=38423560&sort_by=distance&filter_distance=80&filter_include_remote=1,Dexcom Careers and Job Opportunities
